DiseaseCode,DiseaseName,Occurances,Symptoms
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,"UMLS:C0008031_pain
  chest"
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,"UMLS:C0002962_angina
  pectoris"
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,"UMLS:C0392680_shortness
  of breath"
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,UMLS:C0086439_hypokinesia
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,"UMLS:C0038990_sweat^UMLS:C0700590_sweating
  increased"
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,"UMLS:C0438716_pressure
  chest"
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,"UMLS:C0231807_dyspnea
  on exertion"
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,UMLS:C0085619_orthopnea
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,"UMLS:C0232292_chest
  tightness"
C0032285,pneumonia,1029,UMLS:C0010200_cough
C0032285,pneumonia,1029,UMLS:C0015967_fever
C0032285,pneumonia,1029,"UMLS:C0029053_decreased
  translucency"
C0032285,pneumonia,1029,"UMLS:C0392680_shortness
  of breath"
C0032285,pneumonia,1029,UMLS:C0034642_rale
C0032285,pneumonia,1029,"UMLS:C0239134_productive
  cough"
C0032285,pneumonia,1029,"UMLS:C0008033_pleuritic
  pain"
C0032285,pneumonia,1029,"UMLS:C0457096_yellow
  sputum"
C0032285,pneumonia,1029,"UMLS:C0238844_breath
  sounds decreased"
C0032285,pneumonia,1029,UMLS:C0085593_chill
C0032285,pneumonia,1029,UMLS:C0035508_rhonchus
C0032285,pneumonia,1029,"UMLS:C0457097_green
  sputum"
C0032285,pneumonia,1029,"UMLS:C0850149_non-productive
  cough"
C0032285,pneumonia,1029,UMLS:C0043144_wheezing
C0032285,pneumonia,1029,UMLS:C0019079_haemoptysis
C0032285,pneumonia,1029,"UMLS:C0476273_distress
  respiratory"
C0032285,pneumonia,1029,UMLS:C0231835_tachypnea
C0032285,pneumonia,1029,UMLS:C0231218_malaise
C0032285,pneumonia,1029,"UMLS:C0028081_night
  sweat"
C0018802,failure heart congestive,963,"UMLS:C0392680_shortness
  of breath"
C0018802,failure heart congestive,963,UMLS:C0085619_orthopnea
C0018802,failure heart congestive,963,"UMLS:C0240100_jugular
  venous distention"
C0018802,failure heart congestive,963,UMLS:C0034642_rale
C0018802,failure heart congestive,963,UMLS:C0013404_dyspnea
C0018802,failure heart congestive,963,UMLS:C0010200_cough
C0018802,failure heart congestive,963,UMLS:C0043144_wheezing
C0038454,accident cerebrovascular,885,UMLS:C0013362_dysarthria
C0038454,accident cerebrovascular,885,UMLS:C0004093_asthenia
C0038454,accident cerebrovascular,885,"UMLS:C0234518_speech
  slurred"
C0038454,accident cerebrovascular,885,"UMLS:C0427055_facial
  paresis"
C0038454,accident cerebrovascular,885,UMLS:C0018991_hemiplegia
C0038454,accident cerebrovascular,885,UMLS:C0241526_unresponsiveness
C0038454,accident cerebrovascular,885,UMLS:C0036572_seizure
C0038454,accident cerebrovascular,885,UMLS:C0028643_numbness
C0004096,asthma,835,UMLS:C0043144_wheezing
C0004096,asthma,835,UMLS:C0010200_cough
C0004096,asthma,835,"UMLS:C0392680_shortness
  of breath"
C0004096,asthma,835,"UMLS:C0232292_chest
  tightness"
C0004096,asthma,835,"UMLS:C0850149_non-productive
  cough"
C0004096,asthma,835,"UMLS:C0008033_pleuritic
  pain"
C0004096,asthma,835,"UMLS:C0239134_productive
  cough"
C0004096,asthma,835,"UMLS:C0436331_symptom
  aggravating factors"
C0004096,asthma,835,"UMLS:C0476273_distress
  respiratory"
C0027051,myocardial infarction,759,UMLS:C0008031_pain chest
C0027051,myocardial infarction,759,UMLS:C0520886_st segment elevation
C0027051,myocardial infarction,759,UMLS:C0038990_sweat^UMLS:C0700590_sweating increased
C0027051,myocardial infarction,759,UMLS:C0392680_shortness of breath
C0027051,myocardial infarction,759,UMLS:C0520887_st segment depression
C0027051,myocardial infarction,759,UMLS:C0086439_hypokinesia
C0027051,myocardial infarction,759,UMLS:C0002962_angina pectoris
C0027051,myocardial infarction,759,UMLS:C0438716_pressure chest
C0027051,myocardial infarction,759,UMLS:C0520888_t wave inverted
C0027051,myocardial infarction,759,UMLS:C0085619_orthopnea
C0027051,myocardial infarction,759,UMLS:C0034642_rale
C0027051,myocardial infarction,759,UMLS:C0232292_chest tightness
C0027051,myocardial infarction,759,UMLS:C1305739_presence of q wave
C0027051,myocardial infarction,759,UMLS:C0030252_palpitation
C0027051,myocardial infarction,759,UMLS:C0013404_dyspnea
C0027051,myocardial infarction,759,UMLS:C0235710_chest discomfort
C0027051,myocardial infarction,759,UMLS:C0428977_bradycardia
C0027051,myocardial infarction,759,UMLS:C0039070_syncope
C0020443,hypercholesterolemia,685,UMLS:C0030193_pain
C0020443,hypercholesterolemia,685,UMLS:C0008031_pain chest
C0020443,hypercholesterolemia,685,UMLS:C0038990_sweat^UMLS:C0700590_sweating increased
C0020443,hypercholesterolemia,685,UMLS:C0337672_nonsmoker
C0020443,hypercholesterolemia,685,UMLS:C0438716_pressure chest
C0020443,hypercholesterolemia,685,UMLS:C0039070_syncope
C0020443,hypercholesterolemia,685,UMLS:C0028643_numbness
C0020443,hypercholesterolemia,685,UMLS:C0235710_chest discomfort
C0020443,hypercholesterolemia,685,UMLS:C0392680_shortness of breath
C0020443,hypercholesterolemia,685,UMLS:C0520887_st segment depression
C0020443,hypercholesterolemia,685,UMLS:C0233481_worry
C0020443,hypercholesterolemia,685,UMLS:C0520888_t wave inverted
C0020443,hypercholesterolemia,685,UMLS:C0428977_bradycardia
C0020443,hypercholesterolemia,685,UMLS:C0013404_dyspnea
C0021311,infection,630,UMLS:C0015967_fever
C0021311,infection,630,UMLS:C0041834_erythema
C0021311,infection,630,UMLS:C0029053_decreased translucency
C0021311,infection,630,UMLS:C0019214_hepatosplenomegaly
C0021311,infection,630,UMLS:C0085593_chill
C0021311,infection,630,UMLS:C0033774_pruritus
C0021311,infection,630,UMLS:C0011991_diarrhea
C0021311,infection,630,UMLS:C0549483_abscess bacterial
C0021311,infection,630,UMLS:C0038999_swelling
C0021311,infection,630,UMLS:C0030193_pain
C0021311,infection,630,UMLS:C0277797_apyrexial
C0021311,infection,630,UMLS:C0010200_cough
C0042029,infection urinary tract,597,UMLS:C0015967_fever
C0042029,infection urinary tract,597,UMLS:C0013428_dysuria
C0042029,infection urinary tract,597,UMLS:C0018965_hematuria
C0042029,infection urinary tract,597,UMLS:C0235634_renal angle tenderness
C0042029,infection urinary tract,597,UMLS:C0023380_lethargy
C0042029,infection urinary tract,597,UMLS:C0004093_asthenia
C0042029,infection urinary tract,597,UMLS:C0020625_hyponatremia
C0042029,infection urinary tract,597,UMLS:C0578150_hemodynamically stable
C0042029,infection urinary tract,597,UMLS:C0476273_distress respiratory
C0042029,infection urinary tract,597,UMLS:C0241705_difficulty passing urine
C0042029,infection urinary tract,597,UMLS:C0856054_mental status changes
C0042029,infection urinary tract,597,UMLS:C0239110_consciousness clear
C0002871,anemia,544,UMLS:C0085593_chill
C0002871,anemia,544,UMLS:C0744492_guaiac positive
C0002871,anemia,544,UMLS:C0746619_monoclonal
C0002871,anemia,544,UMLS:C0013491_ecchymosis
C0002871,anemia,544,UMLS:C1269955_tumor cell invasion
C0002871,anemia,544,UMLS:C0019080_haemorrhage
C0002871,anemia,544,UMLS:C0030232_pallor
C0002871,anemia,544,UMLS:C0004093_asthenia
C0002871,anemia,544,UMLS:C0015672_fatigue
C0002871,anemia,544,UMLS:C0744740_heme positive
C0002871,anemia,544,UMLS:C0004604_pain back
C0002871,anemia,544,UMLS:C0149746_orthostasis
C0002871,anemia,544,UMLS:C0020625_hyponatremia
C0002871,anemia,544,UMLS:C0012833_dizziness
C0002871,anemia,544,UMLS:C0392680_shortness of breath
C0002871,anemia,544,UMLS:C0030193_pain
C0002871,anemia,544,UMLS:C0035508_rhonchus
C0002871,anemia,544,UMLS:C0003862_arthralgia
C0002871,anemia,544,UMLS:C0038999_swelling
C0002871,anemia,544,UMLS:C1096646_transaminitis
C0024117,chronic obstructive airway disease,524,UMLS:C0392680_shortness of breath
C0024117,chronic obstructive airway disease,524,UMLS:C0043144_wheezing
C0024117,chronic obstructive airway disease,524,UMLS:C0010200_cough
C0024117,chronic obstructive airway disease,524,UMLS:C0013404_dyspnea
C0024117,chronic obstructive airway disease,524,UMLS:C0476273_distress respiratory
C0024117,chronic obstructive airway disease,524,UMLS:C0241235_sputum purulent
C0024117,chronic obstructive airway disease,524,UMLS:C0700292_hypoxemia
C0024117,chronic obstructive airway disease,524,UMLS:C0020440_hypercapnia
C0024117,chronic obstructive airway disease,524,UMLS:C0376405_patient non compliance
C0024117,chronic obstructive airway disease,524,UMLS:C0232292_chest tightness
C0497327,dementia,504,UMLS:C0015967_fever
C0497327,dementia,504,UMLS:C0085639_fall
C0497327,dementia,504,UMLS:C0241526_unresponsiveness
C0497327,dementia,504,UMLS:C0023380_lethargy
C0497327,dementia,504,UMLS:C0085631_agitation
C0497327,dementia,504,UMLS:C0013491_ecchymosis
C0497327,dementia,504,UMLS:C0039070_syncope
C0497327,dementia,504,UMLS:C0034642_rale
C0497327,dementia,504,UMLS:C0041657_unconscious state
C0497327,dementia,504,UMLS:C0010200_cough
C0497327,dementia,504,UMLS:C0425251_bedridden^UMLS:C0741453_bedridden
C0497327,dementia,504,UMLS:C0030193_pain
C0497327,dementia,504,UMLS:C0427055_facial paresis
C0497327,dementia,504,UMLS:C0232498_abdominal tenderness
C0497327,dementia,504,UMLS:C0035508_rhonchus
C0497327,dementia,504,UMLS:C1273573_unsteady gait
C0497327,dementia,504,UMLS:C0233762_hallucinations auditory
C1565489,insufficiency renal,445,UMLS:C0392680_shortness of breath
C1565489,insufficiency renal,445,UMLS:C0020461_hyperkalemia
C1565489,insufficiency renal,445,UMLS:C0085619_orthopnea
C1565489,insufficiency renal,445,UMLS:C0034642_rale
C1565489,insufficiency renal,445,UMLS:C0085606_urgency of micturition
C1565489,insufficiency renal,445,UMLS:C0003962_ascites
C1565489,insufficiency renal,445,UMLS:C0744492_guaiac positive
C1565489,insufficiency renal,445,UMLS:C0004093_asthenia
C1565489,insufficiency renal,445,UMLS:C0277797_apyrexial
C1565489,insufficiency renal,445,UMLS:C0856054_mental status changes
C1565489,insufficiency renal,445,UMLS:C0013404_dyspnea
C1565489,insufficiency renal,445,UMLS:C1299586_difficulty
C1565489,insufficiency renal,445,UMLS:C0011991_diarrhea
C1565489,insufficiency renal,445,UMLS:C0020649_hypotension
C1565489,insufficiency renal,445,UMLS:C0238844_breath sounds decreased
C1565489,insufficiency renal,445,UMLS:C0038999_swelling
C1565489,insufficiency renal,445,UMLS:C0086439_hypokinesia
C0009676,confusion,408,UMLS:C0036572_seizure
C0009676,confusion,408,UMLS:C0014394_enuresis
C0009676,confusion,408,UMLS:C0023380_lethargy
C0009676,confusion,408,UMLS:C0234518_speech slurred
C0009676,confusion,408,UMLS:C0085639_fall
C0009676,confusion,408,UMLS:C0239110_consciousness clear
C0009676,confusion,408,UMLS:C0856054_mental status changes
C0009676,confusion,408,UMLS:C0232766_asterixis
C0009676,confusion,408,UMLS:C0041657_unconscious state
C0009676,confusion,408,UMLS:C0085631_agitation
C0009676,confusion,408,UMLS:C0231530_muscle twitch
C0009676,confusion,408,UMLS:C0004093_asthenia
C0009676,confusion,408,UMLS:C0234450_sleepy
C0009676,confusion,408,UMLS:C0012833_dizziness
C0009676,confusion,408,UMLS:C0018681_headache
C0009676,confusion,408,UMLS:C0013362_dysarthria
C0009676,confusion,408,UMLS:C0220870_lightheadedness
C0009676,confusion,408,UMLS:C0040822_tremor
C0009676,confusion,408,UMLS:C0020625_hyponatremia
C0009676,confusion,408,UMLS:C0241526_unresponsiveness
C0029408,degenerative polyarthritis,405,UMLS:C0030193_pain
C0029408,degenerative polyarthritis,405,"UMLS:C0149696_food
  intolerance"
C0029408,degenerative polyarthritis,405,"UMLS:C0239832_numbness
  of hand"
C0029408,degenerative polyarthritis,405,"UMLS:C0858924_general
  discomfort"
C0029408,degenerative polyarthritis,405,UMLS:C0013144_drowsiness
C0029408,degenerative polyarthritis,405,UMLS:C0004093_asthenia
C0029408,degenerative polyarthritis,405,UMLS:C0337672_nonsmoker
C0029408,degenerative polyarthritis,405,"UMLS:C0850149_non-productive
  cough"
C0029408,degenerative polyarthritis,405,UMLS:C0085602_polydypsia
C0029408,degenerative polyarthritis,405,UMLS:C0427008_stiffness
C0029408,degenerative polyarthritis,405,"UMLS:C1273573_unsteady
  gait"
C0020676,hypothyroidism,398,UMLS:C0392680_shortness of breath
C0020676,hypothyroidism,398,UMLS:C0242453_prostatism
C0020676,hypothyroidism,398,UMLS:C0013144_drowsiness^UMLS:C0234450_sleepy
C0020676,hypothyroidism,398,UMLS:C0020625_hyponatremia
C0020676,hypothyroidism,398,UMLS:C0085639_fall
C0020676,hypothyroidism,398,UMLS:C1273573_unsteady gait
C0020676,hypothyroidism,398,UMLS:C0032617_polyuria
C0020676,hypothyroidism,398,UMLS:C0020649_hypotension
C0020676,hypothyroidism,398,UMLS:C1299586_difficulty
C0020676,hypothyroidism,398,UMLS:C0039070_syncope
C0020676,hypothyroidism,398,UMLS:C0028084_nightmare
C0020676,hypothyroidism,398,UMLS:C0234518_speech slurred
C0020676,hypothyroidism,398,UMLS:C0043094_weight gain
C0020676,hypothyroidism,398,UMLS:C0004093_asthenia
C0020676,hypothyroidism,398,UMLS:C0015672_fatigue^UMLS:C0557875_tired
C0020676,hypothyroidism,398,UMLS:C0085631_agitation
C0020676,hypothyroidism,398,UMLS:C0856054_mental status changes
C0020676,hypothyroidism,398,UMLS:C0424230_motor retardation
C0020676,hypothyroidism,398,UMLS:C0042963_vomiting
C0020676,hypothyroidism,398,UMLS:C0028643_numbness
C0020676,hypothyroidism,398,UMLS:C0577559_mass of body structure
C0700613,anxiety state,390,UMLS:C0233481_worry
C0700613,anxiety state,390,UMLS:C0424000_feeling suicidal
C0700613,anxiety state,390,UMLS:C0438696_suicidal
C0700613,anxiety state,390,UMLS:C0917801_sleeplessness
C0700613,anxiety state,390,UMLS:C0150041_feeling hopeless
C0700613,anxiety state,390,UMLS:C0022107_irritable mood
C0700613,anxiety state,390,UMLS:C0040822_tremor
C0700613,anxiety state,390,UMLS:C0312422_blackout
C0700613,anxiety state,390,UMLS:C0424109_weepiness
C0700613,anxiety state,390,UMLS:C0557075_has religious belief
C0700613,anxiety state,390,UMLS:C0027769_nervousness
C0700613,anxiety state,390,UMLS:C0233763_hallucinations visual
C0700613,anxiety state,390,UMLS:C0016579_formication
C0700613,anxiety state,390,UMLS:C1299586_difficulty
C0700613,anxiety state,390,UMLS:C0008031_pain chest
C0700613,anxiety state,390,UMLS:C0376405_patient non compliance
C0700613,anxiety state,390,UMLS:C0085631_agitation
C0700613,anxiety state,390,UMLS:C0030252_palpitation
C0700613,anxiety state,390,UMLS:C0233762_hallucinations auditory
C0700613,anxiety state,390,UMLS:C0344315_mood depressed
C0700613,anxiety state,390,UMLS:C0600142_hot flush
C0700613,anxiety state,390,UMLS:C0030193_pain
C0700613,anxiety state,390,UMLS:C0239110_consciousness clear
C0700613,anxiety state,390,UMLS:C0028084_nightmare
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0030193_pain
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0577559_mass of body structure
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0221198_lesion
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0332601_cushingoid facies^UMLS:C0878661_cushingoid habitus
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0743482_emphysematous change
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0043096_decreased body weight
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0003962_ascites
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0019825_hoarseness
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0205400_thicken
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,UMLS:C0018965_hematuria
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0015967_fever
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0028081_night sweat
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0233308_spontaneous rupture of membranes
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0010200_cough
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0032739_
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0043096_decreased body weight
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0085593_chill
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0011991_diarrhea
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0008033_pleuritic pain
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0376405_patient non compliance
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0231835_tachypnea
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0239134_productive cough
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0026827_muscle hypotonia^UMLS:C0241938_hypotonic
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,UMLS:C0424000_feeling suicidal
C0007642,cellulitis,341,UMLS:C0041834_erythema
C0007642,cellulitis,341,UMLS:C0030193_pain
C0007642,cellulitis,341,UMLS:C0038999_swelling
C0007642,cellulitis,341,UMLS:C0332575_redness
C0007642,cellulitis,341,UMLS:C0015967_fever
C0007642,cellulitis,341,UMLS:C0549483_abscess bacterial
C0007642,cellulitis,341,UMLS:C0376405_patient non compliance
C0007642,cellulitis,341,UMLS:C0020580_hypesthesia
C0007642,cellulitis,341,UMLS:C0034880_hyperacusis
C0007642,cellulitis,341,UMLS:C0033774_pruritus
C0007642,cellulitis,341,UMLS:C0008031_pain chest
C0007642,cellulitis,341,UMLS:C1384489_scratch marks
C0007642,cellulitis,341,UMLS:C0085593_chill
C0007642,cellulitis,341,UMLS:C0234233_sore to touch
C0017168,gastroesophageal reflux disease,325,UMLS:C0030193_pain
C0017168,gastroesophageal reflux disease,325,UMLS:C0008031_pain chest
C0017168,gastroesophageal reflux disease,325,UMLS:C0085624_burning sensation
C0017168,gastroesophageal reflux disease,325,UMLS:C0020625_hyponatremia
C0017168,gastroesophageal reflux disease,325,UMLS:C0239233_satiety early
C0017168,gastroesophageal reflux disease,325,UMLS:C1444773_throbbing sensation quality
C0017168,gastroesophageal reflux disease,325,UMLS:C0232292_chest tightness
C0017168,gastroesophageal reflux disease,325,UMLS:C0234215_sensory discomfort
C0017168,gastroesophageal reflux disease,325,UMLS:C1305739_presence of q wave
C0017168,gastroesophageal reflux disease,325,UMLS:C0027497_nausea
C0017168,gastroesophageal reflux disease,325,UMLS:C0858924_general discomfort
C0017168,gastroesophageal reflux disease,325,UMLS:C0009806_constipation
C0017168,gastroesophageal reflux disease,325,UMLS:C0030252_palpitation
C0017168,gastroesophageal reflux disease,325,UMLS:C0000737_pain abdominal
C0017168,gastroesophageal reflux disease,325,UMLS:C0018834_heartburn
C0017168,gastroesophageal reflux disease,325,UMLS:C0038990_sweat^UMLS:C0700590_sweating increased
C0017168,gastroesophageal reflux disease,325,UMLS:C0004093_asthenia
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,UMLS:C0015967_fever
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,UMLS:C0476273_distress respiratory
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,UMLS:C0020649_hypotension
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,UMLS:C0231835_tachypnea
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,UMLS:C0085593_chill
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,UMLS:C0023380_lethargy
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,UMLS:C0428977_bradycardia
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,UMLS:C0006157_breech presentation
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,UMLS:C0010520_cyanosis
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,UMLS:C0233308_spontaneous rupture of membranes
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,UMLS:C0019080_haemorrhage
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,UMLS:C0241526_unresponsiveness
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,UMLS:C0034642_rale
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,UMLS:C0277797_apyrexial
C0149871,deep vein thrombosis,310,UMLS:C0038999_swelling
C0149871,deep vein thrombosis,310,UMLS:C0030193_pain
C0149871,deep vein thrombosis,310,UMLS:C0013491_ecchymosis
C0149871,deep vein thrombosis,310,UMLS:C0392680_shortness of breath
C0149871,deep vein thrombosis,310,UMLS:C0023222_pain in lower limb
C0149871,deep vein thrombosis,310,UMLS:C0018800_cardiomegaly
C0149871,deep vein thrombosis,310,UMLS:C0034642_rale
C0149871,deep vein thrombosis,310,UMLS:C0041834_erythema
C0149871,deep vein thrombosis,310,UMLS:C0020649_hypotension
C0149871,deep vein thrombosis,310,UMLS:C0009024_clonus
C0149871,deep vein thrombosis,310,UMLS:C0850149_non-productive cough
C0149871,deep vein thrombosis,310,UMLS:C0332575_redness
C0011175,dehydration,297,UMLS:C0015967_fever
C0011175,dehydration,297,UMLS:C0011991_diarrhea
C0011175,dehydration,297,UMLS:C0042963_vomiting
C0011175,dehydration,297,UMLS:C0020649_hypotension
C0011175,dehydration,297,UMLS:C0027497_nausea
C0011175,dehydration,297,UMLS:C0220870_lightheadedness
C0011175,dehydration,297,UMLS:C0857256_unwell
C0011175,dehydration,297,UMLS:C0856054_mental status changes
C0011175,dehydration,297,UMLS:C0003123_anorexia
C0011175,dehydration,297,UMLS:C0004093_asthenia
C0011175,dehydration,297,UMLS:C0234215_sensory discomfort
C0011175,dehydration,297,UMLS:C0039070_syncope
C0011175,dehydration,297,UMLS:C0023380_lethargy
C0011175,dehydration,297,UMLS:C0012833_dizziness
C0011175,dehydration,297,"UMLS:C0039070_syncope^UMLS:C0312422_blackout^UMLS:C0424533_history
  of - blackout"
C0027651,neoplasm,297,UMLS:C0577559_mass of body structure
